name,docks_count,latitude,longitude
"Edgware Road Station, Marylebone",64,51.519968,-0.169774
"Jubilee Plaza, Canary Wharf",63,51.5034,-0.020242300000006708
"Bankside Mix, Bankside",60,51.50581776,-0.100186337
"Soho Square , Soho",57,51.51563144,-0.132328837
"Royal College Street, Camden Town",57,51.536264,-0.133952
"Parsons Green Station, Parsons Green",56,51.475089,-0.201968
"Hop Exchange, The Borough",56,51.50462759,-0.091773776
"Moorfields, Moorgate",54,51.51906932,-0.088285377
"Hampstead Road, Euston",54,51.52554222,-0.138231303
"Jubilee Crescent, Cubitt Town",54,51.493381,-0.007542
"Museum of London, Barbican",52,51.51782144,-0.096496865
"Worship Street, Shoreditch",51,51.521668,-0.079608554
"East India DLR, Blackwall",51,51.509474,-0.002275
"Watney Market, Stepney",51,51.5142228,-0.055656
"St. John's Wood Church, The Regent's Park",50,51.530529,-0.167515
"Doric Way , Somers Town",50,51.5288338,-0.132250369
"Malet Street, Bloomsbury",49,51.52168078,-0.130431727
"Stephendale Road, Sands End",48,51.46822047,-0.190346493
"Waterloo Station 2, Waterloo",48,51.50391973,-0.11342629
"Mile End Park Leisure Centre, Mile End",47,51.52059714,-0.032566533
"Kennington Cross, Kennington",47,51.48894022,-0.111435796
"City Road, Angel",47,51.530344,-0.100168
"Mostyn Grove, Bow",46,51.530535,-0.025492
"Bishop's Avenue, Fulham",46,51.47303687,-0.214749808
"Empire Square, The Borough",46,51.50082346,-0.089740764
"Crisp Road, Hammersmith",46,51.48810829,-0.22660621
"Whitehall Place, Strand",46,51.50654321,-0.123179697
"Bonny Street, Camden Town",45,51.541603,-0.138853
"Gaywood  Street, Elephant & Castle",45,51.49605,-0.104193
"Pennington Street, Wapping",45,51.508622,-0.065006
"Queen Mary's, Mile End",45,51.522507,-0.041378
"Union Grove, Wandsworth Road",45,51.472993,-0.133972
"Southwark Station 2, Southwark",45,51.504044,-0.104778
"Webber Street , Southwark",45,51.50069361,-0.102091246
"Argyle Street, Kings Cross",45,51.529416,-0.12394439999999918
"Ada Street, Hackney Central",45,51.53571683,-0.060291813
"Eagle Wharf Road, Hoxton",45,51.53356,-0.09315
"Caldwell Street, Stockwell",44,51.477839,-0.116493
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",44,51.549369,-0.015717614
"Lindfield Street, Poplar",44,51.513757,-0.020467
"Irene Road, Parsons Green",43,51.4737636,-0.197010096
"Cheapside, Bank",43,51.51397065,-0.09294031
"Leonard Circus , Shoreditch",43,51.5246962,-0.08443930000001387
"Dunston Road , Haggerston",43,51.53658514,-0.075885686
"Knightsbridge, Hyde Park",43,51.50275704,-0.155349725
"Natural History Museum, South Kensington",42,51.49559291,-0.179077626
"Saltoun Road, Brixton",42,51.460232,-0.11537509
"Bow Road Station, Bow",42,51.527058,-0.025296
"Royal London Hospital, Whitechapel",42,51.518675,-0.06111
"Westfield Ariel Way, White City",42,51.509158,-0.224103
